sku,name,category,packaging_raw,order_options,recommended_order_qty,price_czk,points,source_row
25106,"De-expert!!! Šampon na vlasy “Snake Factor”, 200 ml",Kosmetické přípravky TianDe->Série Snake Factor,1 / 48,1/48,48,211.0,10.0,217
12114,"30% SLEVA!! Lotion na obličej multifunkční, 120 ml",Kosmetické přípravky TianDe->Série Tibetan Herbs TianDe,1 / 72,1/72,72,250.0,8.4,219
12106HM,"Intenzivní komplex na pokožku kolem očí, 100 ks + 10 ml",Kosmetické přípravky TianDe->Série Tibetan Herbs TianDe,1 / 60,1/60,60,418.0,14.0,220
12117,"Pleťové sérum s kordycepsem, 30 ml",Kosmetické přípravky TianDe->Série Tibetan Herbs TianDe,1 / 144,1/144,144,269.0,9.5,221
12116HM,"Vysoce účinný hydratační krém na obličej, 50 g",Kosmetické přípravky TianDe->Série Tibetan Herbs TianDe,1 / 96,1/96,96,224.0,8.4,222
12115HM,"Vyživující krém na obličej na vrásky, 50 g",Kosmetické přípravky TianDe->Série Tibetan Herbs TianDe,1 / 96,1/96,96,224.0,8.4,223
60145,"Denní hygienická vložka „Jemná péče“, 1 ks",Kosmetické přípravky TianDe->VložkyTianDe,1 / 1350,1/1350,1350,45.0,1.5,225
61902,"Denní menstruační vložky s fytomembránou „Energie bylin“, 8 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky ""Energie bylin""",1 / 30,1/30,30,164.0,6.3,227
61901,"Denní vložky s fytomembránou „Energie bylin“, 20 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky ""Energie bylin""",1 / 48,1/48,48,164.0,5.9,228
61903,"Noční menstruační vložky s fytomembránou „Energie bylin“, 8 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky ""Energie bylin""",1 / 30,1/30,30,194.0,7.0,229
61914,"Dámské bylinné slipové vložky Nefritová svěžest, 20 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky s použitím bylin a mentolem ""Nefritová svěžest""",1 / 48,1/48,48,114.0,3.8,231
61915,"Dámské bylinné slipové vložky s anionty Nefritová svěžest, 20 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky s použitím bylin a mentolem ""Nefritová svěžest""",1 / 48,1/48,48,114.0,3.8,232
61912,"Dámské bylinné vložky Nefritová svěžest, denní super, 10 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky s použitím bylin a mentolem ""Nefritová svěžest""",1 / 30,1/30,30,134.0,4.6,233
61913,"Dámské bylinné vložky Nefritová svěžest, noční super, 10 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky s použitím bylin a mentolem ""Nefritová svěžest""",1 / 30,1/30,30,134.0,3.9,234
61921,"Dámské bylinné vložky Nefritová svěžest, super tenké, 25 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky s použitím bylin a mentolem ""Nefritová svěžest""",1 / 48,1/48,48,116.0,3.9,235
61911,"Denní vložky s extraktem aloe Nefritová svěžest, 20 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky s použitím bylin a mentolem ""Nefritová svěžest""",1 / 48,1/48,48,114.0,3.8,236
63601,"Denní vložka Energie bylin, 1 ks","Kosmetické přípravky TianDe->VložkyTianDe->Vložky""Life Energy""",1 / 1 / 1250 / 1250,1/1/1250/1250,1250,45.0,1.5,238
61922,"AKCE březen - duben! Ultra tenké dámské denní menstruační vložky Nebeská bavlna, 8 ks",Kosmetické přípravky TianDe->VložkyTianDe->Прокладки «Небесный хлопок»,1 / 30,1/30,30,127.0,4.3,240
61923,"Ultra tenké slipové vložky Nebeská bavlna, 20 ks",Kosmetické přípravky TianDe->VložkyTianDe->Прокладки «Небесный хлопок»,1 / 48,1/48,48,107.0,3.6,241
67109,"AKCE březen - duben! Super tenké menstruační vložky s bylinným komplexem Artemisia, 8 ks",Kosmetické přípravky TianDe->VložkyTianDe->Прокладки «Травяной комплекс с полынью»,1 / 48,1/48,48,164.0,5.9,243
67108,"Super tenké slipové vložky s bylinným komplexem Artemisia, 20 ks",Kosmetické přípravky TianDe->VložkyTianDe->Прокладки «Травяной комплекс с полынью»,1 / 48,1/48,48,164.0,5.9,244
60141,"Zubní gel Přírodní bambusová sůl, 120 g",Kosmetické přípravky TianDe->Zubní pasty a gely,1 / 12 / 72,1/12/72,72,114.0,3.9,246
60140HM,"Zubní gel Tekutý vápník, 120 g",Kosmetické přípravky TianDe->Zubní pasty a gely,1 / 12 / 72,1/12/72,72,114.0,3.9,247
60144,"Zubní pasta ""Zelený čaj a ženšen Sanchi"", 120 g",Kosmetické přípravky TianDe->Zubní pasty a gely,1 / 72,1/72,72,134.0,5.0,248
60146,"Zubní pasta Extra White PRO, 60 g",Kosmetické přípravky TianDe->Zubní pasty a gely,1 / 144,1/144,144,107.0,4.5,249
60142,"Zubní pasta Přírodní mořské perly,120 g",Kosmetické přípravky TianDe->Zubní pasty a gely,1 / 12 / 72,1/12/72,72,114.0,3.9,250
30140,"Nosní masážní olej Tajemství energie Čchi, 10 ml",Kosmetické přípravky TianDe->Массажное масло TianDe,1 / 200,1/200,200,387.0,15.0,252
191006,"Extrakt z jedlového jehličí s šípkovou a rybízovou šťávou, 100 g (10 kusů po 10 g)",Kosmetické přípravky TianDe->Серия «Dr. Taiga»,1 / 72,1/72,72,298.0,10.0,254
65916-2,"Hygienický sprej Fytoncidy tajgy a mořská sůl, 35 g",Kosmetické přípravky TianDe->Серия «Dr. Taiga»,1 / 96,1/96,96,164.0,5.5,255
65914-2,"Hygienický ústní sprej Jedlový esenciální olej a propolis, 35 g",Kosmetické přípravky TianDe->Серия «Dr. Taiga»,1 / 96,1/96,96,164.0,5.5,256
198812,"Rozpustný čekankový nápoj s extrakty parchy saflorové a rezavce šikmého, sáček 3 g",Kosmetické přípravky TianDe->Серия «Dr. Taiga»,1 / 200,1/200,200,39.0,1.3,257
195926,"Tekutá bylinná sezónní směs s extraktem jedlového jehličí, 100 g (10 kusů po 10 g)",Kosmetické přípravky TianDe->Серия «Dr. Taiga»,1 / 72,1/72,72,298.0,10.0,258
65913-2,"Zubní fytopasta na obnovu skloviny Skytský kořen, 80 g",Kosmetické přípravky TianDe->Серия «Dr. Taiga»,1 / 96,1/96,96,177.0,6.0,259
57010,"AKCE březen - duben!  Sleva leden-unor! Hydratační pleťová PGA-maska s pivoňkou a pupečníkem asijským, 1 ks",Kosmetické přípravky TianDe->Серия «FreshClick»,1 / 480,1/480,480,57.0,2.1,261
17003HM,"Aquagel na oči a obličej, 65 g",Kosmetické přípravky TianDe->Серия «FreshClick»,1 / 96,1/96,96,300.0,10.5,262
27006,"Kondicionér na vlasy Efekt bio-laminace, 250 ml",Kosmetické přípravky TianDe->Серия «FreshClick»,1 / 48,1/48,48,289.0,9.8,263
27005HM,"Šampon pro hloubkové čištění vlasů, 250 ml",Kosmetické přípravky TianDe->Серия «FreshClick»,1 / 48,1/48,48,291.0,9.9,264
67007,"Slipové vložky se stříbrem, super tenké, 20 ks",Kosmetické přípravky TianDe->Серия «FreshClick»,1 / 48,1/48,48,114.0,3.8,265
15601,"Čisticí mléko na obličej a dekolt, 100 g",Kosmetické přípravky TianDe->Серия «Fucoidan»,1 / 96,1/96,96,278.0,13.5,267
15602,"Čisticí pleťová voda, 100 ml",Kosmetické přípravky TianDe->Серия «Fucoidan»,1 / 96,1/96,96,278.0,13.5,268
15604,"Koncentrovaný oční gel na vrásky, 25 g",Kosmetické přípravky TianDe->Серия «Fucoidan»,1 / 96,1/96,96,352.0,17.0,269
55605,"Krémová omlazující maska na obličej, krk a dekolt, 80 g",Kosmetické přípravky TianDe->Серия «Fucoidan»,1 / 96,1/96,96,352.0,17.0,270
15603,"Revitalizační anti-aging krém na obličej, 55 g",Kosmetické přípravky TianDe->Серия «Fucoidan»,1 / 96,1/96,96,352.0,17.0,271
85607HM,"Zjemňující balzám na rty, 10 g",Kosmetické přípravky TianDe->Серия «Fucoidan»,1 / 192,1/192,192,126.0,5.0,272
17105,"Antioxidační pleťový peeling, 120 g",Kosmetické přípravky TianDe->Серия «Herbal Energies»,1 / 96,1/96,96,174.0,6.0,274
17101,"Pleťový krém s bílým čajem, 50 g",Kosmetické přípravky TianDe->Серия «Herbal Energies»,1 / 96,1/96,96,308.0,11.5,275
17103,"Pleťový krém s cordycepsem a šalvějí, 50 g",Kosmetické přípravky TianDe->Серия «Herbal Energies»,1 / 96,1/96,96,308.0,11.5,276
17104HM,"Ultra-jemný čistící gel, 120 g",Kosmetické přípravky TianDe->Серия «Herbal Energies»,1 / 96,1/96,96,155.0,5.3,277
56007,"DOP.AKCE! Tající kolagenová liftingová pleťová maska s mořskými řasami, 1 ks",Kosmetické přípravky TianDe->Серия «Ocean Riches»,1 / 400,1/400,400,74.0,2.5,279
16002HM,"Fluid na oční víčka, 25 ml",Kosmetické přípravky TianDe->Серия «Ocean Riches»,1 / 12 / 96,1/12/96,96,387.0,14.0,280
16001,"Hyaluronové sérum na pleť, 25 ml",Kosmetické přípravky TianDe->Серия «Ocean Riches»,1 / 96,1/96,96,358.0,13.0,281
86004,"Hydratační báze pod make-up, 40 ml",Kosmetické přípravky TianDe->Серия «Ocean Riches»,1 / 96,1/96,96,358.0,13.0,282
56005,"Hydrogelové polštářky na oční víčka s červenými mořskými řasami a yuzu, 60 ks",Kosmetické přípravky TianDe->Серия «Ocean Riches»,1 / 96,1/96,96,445.0,16.0,283
30201,"AKCE březen - duben!  Peeling Citrónový, 120 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Peelingy SPA Technology ТianDe,1 / 24 / 96,1/24/96,96,144.0,4.6,285
30205,"AKCE březen - duben!  Peeling Hroznový, 120 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Peelingy SPA Technology ТianDe,1 / 24 / 96,1/24/96,96,144.0,4.6,286
30203,"AKCE březen - duben!  Peeling Mléčný, 120 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Peelingy SPA Technology ТianDe,1 / 24 / 96,1/24/96,96,144.0,4.6,287
30204HM,"AKCE březen - duben!  Peeling Okurkový, 120 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Peelingy SPA Technology ТianDe,1 / 24 / 96,1/24/96,96,144.0,4.6,288
30207,"AKCE březen - duben! Peeling Olivový, 120 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Peelingy SPA Technology ТianDe,1 / 24 / 96,1/24/96,96,144.0,4.6,289
50224HM,"Vodou rozpustná maska na obličej Perlový pudr, 100 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Rozpustné masky TianDe,1 / 1 / 1 / 120 / 120,1/1/1/120/120,120,120.0,4.2,291
30213,"Tělová sůl ""Medová broskev"", 380 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Série SPA Technology Tělové soli TianDe,1 / 1 / 1 / 12 / 12 / 48 / 48,1/1/1/12/12/48/48,48,215.0,6.9,293
30223HM,"Tělová sůl “Krystaly z Mrtvého moře”, 330 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Série SPA Technology Tělové soli TianDe,1 / 48,1/48,48,300.0,10.0,294
30222,"Tělová sůl „Grapefruit“, 380 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Série SPA Technology Tělové soli TianDe,1 / 48,1/48,48,215.0,6.9,295
30215,"Tělová sůl „Zelený čaj“, 380 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Série SPA Technology Tělové soli TianDe,1 / 1 / 1 / 12 / 12 / 48 / 48,1/1/1/12/12/48/48,48,215.0,6.9,296
10206-2,"AKCE březen - duben!  Micelární voda s fytokomplexem, 200 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Umývací gely SPA Technology,1 / 48,1/48,48,194.0,6.9,298
10263,"AKCE březen - duben! Peelingové tampony na obličej s obsahem kyselin AHA a PHA, 50 ks",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Umývací gely SPA Technology,1 / 24,1/24,24,445.0,15.1,299
10201HM,"Čistící gel ""Zelený čaj"", 150 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Umývací gely SPA Technology,1 / 1 / 1 / 24 / 24 / 96 / 96 / 96,1/1/1/24/24/96/96/96,96,120.0,2.9,300
10202HM,"Čistící gel „Oceán krásy“, 150 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Umývací gely SPA Technology,1 / 24 / 96,1/24/96,96,120.0,2.9,301
10261,"Enzymový pudr na mytí obličeje, 70 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Umývací gely SPA Technology,1 / 20,1/20,20,475.0,16.0,302
10262,"Hydrofilní odličovací máslo, 75 g",Kosmetické přípravky TianDe->Серия «SPA Technology» ТianDe->Umývací gely SPA Technology,1 / 24,1/24,24,416.0,14.0,303
56311,"Pleťová maska Kyselina azelaová a vitamín C, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 400,1/400,400,66.0,2.4,305
16310HM,"Revitalizační noční pleťová krémová maska Biotics, 50 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 96,1/96,96,387.0,13.0,306
16309HM,"Revitalizační pleťová esence ve spreji Biotics, 100 ml",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 96,1/96,96,378.0,12.7,307
16304HM,"Zklidňující čistící pleťová pěna, 160 ml",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 96,1/96,96,416.0,16.0,308
195429,"Kolagen s višňovou a granátovou šťávou, 21 sáčků po 12 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 27,1/27,27,686.0,17.0,310
195458,"Nápoj s extraktem z pomerančovníku a šťávou z malin, 8 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 200,1/200,200,50.0,1.6,311
195431,"Pektinový kysel s rakytníkem a jablkem, 15 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 200,1/200,200,55.0,1.6,312
195432,"Pektinový kysel s vlochyní a borůvkou, 15 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 200,1/200,200,55.0,1.6,313
195469,"Sleva březen - duben!!! Nápoj s glycinem a tryptofanem, 7 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 200,1/200,200,42.0,1.7,314
195466,"Čaga s mumiem, 16,44 mg/30 kapslí po 548 mg",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 60,1/60,60,871.0,30.0,316
135449,"Geroproline, 15,9 g / 30 kapslí po 530 mg",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 60,1/60,60,871.0,30.0,317
135456,"Glutatione complex, 11,70 g (30 kapslí po 390 mg)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 60,1/60,60,871.0,30.0,318
135455,"Zlatophyt, 11,70 g/30 kapslí po 390 mg",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 60,1/60,60,871.0,30.0,319
120105,"AKCE březen-duben!  Zázvorový nápoj, 1 sáček, 18 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 240,1/240,240,39.0,1.3,321
120109,"Kávový nápoj „Čínská kávová zrna“ (plody Sénna alexandrína), 10 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 600,1/600,600,21.0,0.8,322
90101,"Čelenka na vlasy, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 500,1/500,500,66.0,1.7,324
90165/01,"Houba na mytí a masáž obličeje, 1 ks (barva fialová)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 300,1/300,300,66.0,2.3,325
90165/02,"Houba na mytí a masáž obličeje, 1 ks (barva tyrkysová)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 300,1/300,300,66.0,2.3,326
90186,"Kosmetická špachtle na krém, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 10000,1/10000,10000,7.0,0.1,327
90200,"Lešticí pilník na nehty, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 10 / 400,1/10/400,400,174.0,4.9,328
90204,"Lešticí pilník na pedikúru, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 10 / 360,1/10/360,360,269.0,7.0,329
90151,"Masážní váleček na obličej, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 120,1/120,120,126.0,3.6,330
90141,"Mezoroller (masážní váleček), 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 200,1/200,200,833.0,31.4,331
90187,"Sleva březen - duben!!! 3D masážní pomůcka pro lifting pokožky obličeje a těla, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 60,1/60,60,465.0,15.0,332
90178,"Vibrační masážní pomůcka na oči, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 24,1/24,24,4434.0,25.0,333
30129,"Nákoleníky s bodovou turmalínovou vrstvou, 2 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 36,1/36,36,1219.0,41.0,335
30132/01,"Pánské spodní prádlo s bodovou turmalínovou vrstvou, 1 ks (vel. L)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 120,1/120,120,291.0,6.0,336
30132/02,"Pánské spodní prádlo s bodovou turmalínovou vrstvou, 1 ks (vel. XXL)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 120,1/120,120,291.0,6.0,337
30126,"Pás s bodovou turmalínovou vrstvou, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 36,1/36,36,1336.0,45.0,338
980156,"Japonský exfoliační ručník pro celé tělo (středně hrubý), 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 300,1/300,300,145.0,5.7,340
980155,"Spa rukavice, 1 ks (ТМ EcoDeViva)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 300,1/300,300,126.0,4.1,341
980168,"Vatové tyčinky z bambusu, 100 ks (ТМ EcoDeViva)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 480,1/480,480,42.0,1.5,342
135467,"40% SLEVA!!! Ženšen a mateří kašička, 50,1 g (30 kapslí po 1,67 g)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 100,1/100,100,755.0,25.0,344
113004,"Citrokalcevit, 30 g (60 tablet po 500 mg)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 40,1/40,40,484.0,13.0,345
113007,"Pjaoljan, 16,8 g/13,5 g (30 kapslí á 560 mg/brutto; 450 mg/netto)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 60,1/60,60,463.0,13.7,346
113011,Sleva březen - duben!!! Extrakt z listu ořešáku královského,Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 20,1/20,20,347.0,11.8,347
113012,Sleva březen - duben!!! Extrakt z plodu ostropestřce mariánského s riboflavinem,Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 20,1/20,20,296.0,9.5,348
113013,Sleva březen - duben!!! Tablety s extraktem z jader vinné révy,Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 20,1/20,20,347.0,11.8,349
191014,"Fytoformule s rozchodnicí, 180 g (15 kusů po 12 g)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 34,1/34,34,532.0,16.0,351
191005,"Fytokoncentrát s hruštičkou okrouhlolistou a tryptofanem pro ženy, 120 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 66,1/66,66,416.0,14.0,352
191008,Jablečná vláknina a prášek dýně,Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 200,1/200,200,39.0,1.2,353
980193,"Expres utěrka na čištění skla, 1 ks (ТМ EcoDeViva)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 192,1/192,192,224.0,7.5,355
980199,"Hadřík na nádobí, 1 ks (EcoDeViva)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 24 / 192,1/24/192,192,116.0,4.0,356
98898,"Hadřík na optiku a obrazovky, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 1200,1/1200,1200,68.0,2.5,357
980198,"Oboustranný hadr na podlahu, 1 ks (ТМ EcoDeViva)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 24 / 96,1/24/96,96,358.0,12.0,358
980192,"PROFI utěrka na komplexní čištění, 1 ks (ТМ EcoDeViva)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 192,1/192,192,173.0,6.5,359
980188,"Utěrka-skraber na úklid 2 v 1, 1 ks",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 192,1/192,192,200.0,6.7,360
640102,"Sirupy s ovocnými šťávami a vitamíny, 21 sáčků po 10 g",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 32,1/32,32,294.0,6.3,362
60150,"Aroma-tyčinka s vůní višní a máty, 1 ks (ТМ TianDe)",Kosmetické přípravky TianDe->Серия «Vita Derm»,1 / 540,1/540,540,87.0,3.0,364
