sku,name,category,packaging_raw,order_options,recommended_order_qty,price_czk,points,source_row
60151-2,"Kamencový deodorant s prebiotiky Men's Choice, svěžest, 50 g",Kosmetické přípravky TianDe->Deodorant,1 / 96,1/96,96,134.0,4.5,65
60153-2,"Kamencový deodorant s prebiotiky, květinová vůně, 50 g",Kosmetické přípravky TianDe->Deodorant,1 / 96,1/96,96,134.0,4.5,66
60152-2,"Kamencový deodorant s prebiotiky, svěží vůně, 50 g",Kosmetické přípravky TianDe->Deodorant,1 / 96,1/96,96,134.0,4.5,67
30101,"Krystalový tělový deodorant Natural Veil, 60 g",Kosmetické přípravky TianDe->Deodorant,1 / 12 / 144,1/12/144,144,269.0,9.7,68
30117,"Kosmetická fytonáplast Jian Kang, 5 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 400,1/400,400,120.0,4.5,70
30118,"Kosmetická fytonáplast Wutong, 5 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 400,1/400,400,120.0,4.5,71
30111,"Kosmetická tělová fytonáplast Yaoshen Forte, 2 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 1500,1/1500,1500,126.0,4.7,72
30106,"Kosmetická tělová fytonáplast Zhui Feng Forte, 4 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 120 / 720,1/120/720,720,84.0,2.3,73
10112,"Kolagenová pleťová esence na vrásky, 50 ml",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 100,1/100,100,463.0,16.0,75
10108HM,"Multipeptidové pleťové sérum, 30 ml",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 12 / 96,1/12/96,96,378.0,13.0,76
20155,"Olejová esence na vlasy vkapslích, 20 ks x 1 g",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 150,1/150,150,282.0,9.7,77
10110HM,"Peptidový krém na oční víčka na vrásky, 30 g",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 100,1/100,100,463.0,16.0,78
10106,"Pleťová esence s kolagenem a mořskými řasami, 30 ml",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 144,1/144,144,271.0,10.0,79
10111HM,"Polypeptidový pleťový krém s kolagenem na vrásky, 50 ml",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 100,1/100,100,484.0,16.7,80
10101,"Regenerační sérum v kapslích, 36 ks x 0,7 g",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 300,1/300,300,424.0,14.3,81
41101HM,"De-expert!!! Krém na nohy s hadím tukem, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 1 / 12 / 12 / 144 / 144,1/1/12/12/144/144,144,123.0,3.8,83
41102HM,"De-expert!!! Krém na ruce shadím tukem, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 1 / 1 / 12 / 12 / 144 / 144,1/1/1/12/12/144/144,144,114.0,3.8,84
40109HM,"Krém na ruce Slunečné olivy, 80 g",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 1 / 12 / 144,1/1/12/144,144,39.0,0.8,85
40106,"Omlazující krém na ruce Lingzhi, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 12 / 144,1/12/144,144,107.0,3.6,86
41106,"Preventivní krém na nohy s hadím olejem, 30 g",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 60 / 480,1/60/480,480,48.0,1.6,87
41105HM,"Regenerační krém na nohy s hadím olejem, 30 g",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 60 / 480,1/60/480,480,48.0,1.6,88
40104,"Sleva březen - duben!!! Krém na ruce s placentou a perlovým práškem, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 12 / 144,1/12/144,144,57.0,1.7,89
40101HM,"Sleva březen - duben!!! Mléčný krém na ruce, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 1 / 1 / 12 / 12 / 144 / 144,1/1/1/12/12/144/144,144,41.0,1.3,90
40102HM,"Sleva březen - duben!!! Regenerační krém na ruce Aloe Vera, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 1 / 1 / 12 / 12 / 144 / 144,1/1/1/12/12/144/144,144,41.0,1.3,91
40105HM,"Sleva březen - duben!!! Vyživující hydratační krém na ruce Ovčí mléko, 80 ml",Kosmetické přípravky TianDe->Krémy na ruce a nohy TianDe,1 / 1 / 1 / 12 / 12 / 144 / 144,1/1/1/12/12/144/144,144,57.0,1.7,92
50120,"AKCE březen - duben!  Hydrogelové polštářky na pleť s ceramidy, 4 ks x 3 g",Kosmetické přípravky TianDe->Masky TianDe,1 / 720,1/720,720,68.0,2.2,94
